writer_name,unique_article_count
הארץ,5088
ניו יורק טיימס,2354
ספורט הארץ,2179
עוזי דן,1500
רויטרס,1465
יניב קובוביץ,1402
ג'קי חורי,1382
בר פלג,1332
יהונתן ליס,1267
יהושע (ג'וש) בריינר,1211
נעה שפיגל,1037
שף אורח,1008
חן מענית,974
גרדיאן,962
אי־פי,884
אריה ליבנת,813
עדי חשמונאי,794
עופר אדרת,785
יעל פרידסון,752
אמיר ענבר,718
עידו רקובסקי,695
מאמר המערכת,664
"כתבי ""הארץ""",644
הגר שיזף,632
יפעת ראובן,622
חדשות היום,618
ניר חסון,608
עמוס הראל,604
ליאור דטל,601
דניאל שמיל,598
מיכאל האוזר טוב,573
לימור לניאדו תירוש,564
גילי איזיקוביץ,546
רן שמעוני,545
"כתבי ""ספורט הארץ""",533
אבי בר-אלי,530
שירה נאות,480
יאן מלניקוב,479
הדר קנה,479
אמיר תיבון,478
רותם מימון,471
בן שלו,471
אי-פי,456
בן סמואלס,452
רוגל אלפר,418
איתי לארי,412
יסמין לוי,407
צבי בראל,369
נעמה ריבה,368
עידו דוד כהן,363
שירה קדרי־עובדיה,359
מורן שריר,354
חגי חיטרון,350
עדן סולומון,347
ליזה רוזובסקי,345
דורעם גונט,322
עמוס בידרמן,321
איתמר זהר,314
רותם שטרקמן,314
נירית אנדרמן,313
עידו אפרתי,313
נתנאל שלומוביץ,302
אופיר חובב,273
טלי חרותי-סובר,267
חן חדד,253
מתן שופן,251
דיאא חאג׳ יחיא,249
יוסי ורטר,248
אורון שמיר,247
מירב ארלוזורוב,245
משה גלעד,242
ערן וולקובסקי,239
אלון עידן,230
נתי טוקר,229
גדעון לב,229
מיכל רוזנבך,223
אהרן רבינוביץ,221
מוסף הארץ,221
איתן לשם,214
רוית הכט,207
יוענה גונן,203
רוני קשמין,199
אמיר מנדל,192
שירין פלאח סעב,189
שני ליטמן,184
דוד שושן,184
רוני לינדר,176
רחל טלשיר,174
שירה קדרי-עובדיה,161
מיכל וקסמן,158
שפית אורחת,152
נירה רוסו,147
צפריר רינת,144
סמי פרץ,143
נתי יפת,141
נורית פלד,137
חיים לוינסון,132
הדיי עפאים,129
גידי וייץ,129
ניב הדס,128
רונית ורד,127
חגי עמית,127
עפרי אילני,125
ערן לאור,125
פאדי אמון,124
יוסי מלמן,124
שי פוגלמן,119
האתלטיק,119
ינאי יחיאל,119
אבי פיטשון,118
ישראל שרנצל,116
שגיא כהן,115
שקד בשן,114
"כתבי ספורט ""הארץ""",113
אמנון בירמן,113
גדעון לוי,113
ניסן שור,111
אילנה זפרן,111
ועדת המדרוג,111
אורה קורן,110
חשיפה,110
עמליה רוזנבלום,110
גלעד מלצר,110
אברהם בלבן,110
אור קשתי,109
פבלו אוטין,109
דיאא חאג' יחיא,107
אורלי וילנאי,106
עמירה הס,106
תומר חרוב,105
רונן טל,104
ננו שבתאי,103
עדי כהן,100
דנה פרנק,100
עודד ירון,100
"פני הארץ
צפריר רינת",99
איתי גודר,99
ד־פ־א,99
"חיים בשוליים
אורלי וילנאי",98
אלי דהאן,97
גליה רזניק,97
מכון ון ליר,96
עירד צפריר,94
קונדיטורית אורחת,93
עומר בן יעקב,92
ניר צדוק,92
נטע אחיטוב,92
אלכס ליבק,90
נועה אפשטיין,90
עוזי צור,86
TheMarker,85
מכון מיתווים - מדיניות החוץ האזורית של ישראל,83
אנשיל פפר,82
עכבר העיר,82
אלכס אפשטיין,82
נעם בן זאב,81
אלעד זאבי,81
מרדכי קרמניצר,80
יואב מה-טוב,80
איתמר קציר,76
אבי שרף,75
דנה מלמד,74
רות אוליבר,74
ענת ג'ורג'י,74
עופרה רודנר,74
ירין רבן,69
נטע הלפרין,69
אורלי פלאי ברונשטיין,66
ענבל לביא,66
אילון גלעד,65
אודי הירש,63
ד-פ-א,62
אילת לוי,61
דן מירון,60
דניאל צ'צ'יק,60
צח יוקד,60
דור ונגר,60
ויטה קיירס,60
כתבי ספורט הארץ,59
שיר אנגל,57
יונתן אנגלנדר,57
יונתן ברג,56
נועה לימונה,55
סער מור,55
אלון פנקס,55
מעיין נדיר,53
ניר גונטז',53
רונן סוניס,53
חנה גרשוני,53
מערכת עכבר העיר און ליין,52
יצחק קאופמן,52
קרולינה לנדסמן,50
יהושע עמישב,49
קרן הבר,49
דינה זילבר,48
מור דניאל,48
בלומברג,48
תמר בלומנפלד,48
שירי רז,48
נעה אביב,48
נטע ירון,48
ורד לי,47
טליה בנון צור,47
יובל פלוטקין,46
נעה לנדאו,46
ורד זינגר,46
נורית וורגפט,45
דורון קורן,45
אילן ברקוביץ',45
ג'ודי מלץ,44
קונדיטור אורח,44
רן בראון,43
מיכל מוזס,43
עמרי הרצוג,43
"זקנה במסדרון
נורית וורגפט",42
מאיה כהן,42
קונדיטורים אורחים,42
יותם קורן,42
איתי זיו,40
מליסה קלארק,40
יונתן גורודישר,40
לירון,39
עמרי פולק,39
מיקי שמו,39
חיים הנדוורקר,38
ג'ניה וולינסקי,38
גיל ססובר,38
שפים אורחים,38
בן שרוני,38
בלוג,37
אלוף בן,37
דיויד סטברו,37
קרן קדוש,37
עודד בן יהודה,37
אמיר פורת ורוסלה יונה,37
לילך וולך,36
לי ירון,36
אנו - מוזיאון העם היהודי,35
שף קונדיטור אורח,35
אסף סעדון,35
"שכנים
צבי בראל",35
רות אלמוג,33
רוסלה יונה ואמיר פורת,33
שני רייך,33
זמי שרייבר,33
אסתר זנדברג,33
שי נמרודי,33
צליל אברהם,33
שירה מייקין,33
לירז שדה,32
נופר זנזורי,32
שמואל בן שלום,30
שף קונדיטורית אורחת,30
הדר חזן,29
סוכנות ידיעות למדע וסביבה,29
יסמין גואטה,29
פאולין שובל,29
איתן אבריאל,29
זווית,29
שאולי לב-רן,28
שי לי ליפא,28
אוריאל קון,28
אורי משגב,27
גיא רולניק,27
גור מגידו,27
יורם גביזון,26
סיון קלינגבייל,26
יאיר בן דוד,26
רונית פנסו,26
אקונומיסט,25
שירלי הרשקו,25
אייל שני,25
עלית קרפ,25
אבי גרפינקל,25
סיגלית בנאי,25
הסדנה להיסטוריה חברתית,24
עמוס שיאון,24
עמוס פריבס,24
שף-קונדיטור אורח,24
אופה אורח,24
יונתן הירשפלד,23
איריס לעאל,23
איילת שני,23
אסף שנער,23
חגית גינזבורג,23
עידן בנימין,23
רואן סלימאן,22
הדס בשן,22
אלמוג בן זכרי,22
ירדן מיכאלי,22
אילנית שמיע,22
ארז קומרובסקי,22
יפעה אייזנמן,22
רותם בר כהן,21
יריב מלילי,21
בני ציפר,21
בניהו טבילה,21
שף קונדיטורים אורחים,21
רייצ'ל פינק,21
חן קצביץ' פרסלר,20
אריה קצוביץ,20
בועז יזרעאלי,20
עומר כרמון,20
איתן נצ'ין,20
טל מאור זינגרמן,20
עוצם עין אחת | עוזי צור,20
רות בקי קולודני,19
אלי סלייגל,19
מאיה רביבו,19
אמנון דירקטור,19
אביב משה,19
חגי מלמד,19
ספי הנדלר,19
אסא ששון,19
ליאת לוי,19
מיכל ברנע-אסטרוג,19
דניאל יהל,19
פרץ סגל,19
נתנאל גאמס,18
שני פוקר,18
עינת טלמון,18
נדין אבו לבן,18
גלי פיאלקוב,18
נועה מימן,18
יעל שטרנהל,18
תמי גבע,18
יזהר באר,18
ישראל שר,18
תום פרנץ,18
גל גבאי,18
כתבי הארץ,18
תום לוינסון,18
יעקב שביט,18
זיו סנדלר,17
אורי שפט,17
מיכל שמיר,17
רותי לוי,17
רמי לבני,17
אורגד רואש,16
אלמוג גולד,16
מעין איתן,16
איתי שטרן,16
נועה נופר,16
אבי ביטון,15
רוני סומק,15
סיגי מנטל,15
אורלי  וילנאי,15
הגר ורטהים,15
שרון היינריך,15
סבינה ולדמן,15
אנה בורד,15
דרור בורשטיין,15
שניר אנג סלע,15
מורן לידור,15
